v025,state,id,variable,mean
1,andaman and nicobar islands,S86,nfhs4s_urban,10.10535979055173
1,andaman and nicobar islands,S88,nfhs4s_urban,38.23156425313107
1,andaman and nicobar islands,S99,nfhs4s_urban,4.246612559634931
1,andaman and nicobar islands,S100,nfhs4s_urban,6.689797396858857
1,andaman and nicobar islands,S101,nfhs4s_urban,13.872686899853981
1,andaman and nicobar islands,S105,nfhs4s_urban,8.349649514121706
1,andaman and nicobar islands,S106,nfhs4s_urban,2.4723318592777583
1,andaman and nicobar islands,S107,nfhs4s_urban,11.504455254501886
1,andaman and nicobar islands,S14,nfhs4s_urban,89.0362718040318
1,andaman and nicobar islands,S16,nfhs4s_urban,57.34384156702292
1,andaman and nicobar islands,S20,nfhs4s_urban,19.761097003048338
1,andaman and nicobar islands,S20_rev,nfhs4s_urban,80.23890299695165
1,andaman and nicobar islands,S128,nfhs4s_urban,15.341169374526828
1,andaman and nicobar islands,S130,nfhs4s_urban,1.1761909334585885
1,andaman and nicobar islands,S15,nfhs4s_urban,95.01358952966407
1,andaman and nicobar islands,S17,nfhs4s_urban,69.75976583662676
1,andaman and nicobar islands,S87,nfhs4s_urban,8.148631183382072
1,andaman and nicobar islands,S89,nfhs4s_urban,42.67407946001497
1,andaman and nicobar islands,S129,nfhs4s_urban,61.344616933575494
1,andaman and nicobar islands,S131,nfhs4s_urban,56.51457923210164
1,andaman and nicobar islands,S102,nfhs4s_urban,8.171588429665526
1,andaman and nicobar islands,S103,nfhs4s_urban,16.479214353323343
1,andaman and nicobar islands,S104,nfhs4s_urban,25.888229241854955
1,andaman and nicobar islands,S108,nfhs4s_urban,23.439517583103463
1,andaman and nicobar islands,S109,nfhs4s_urban,8.774263941563586
1,andaman and nicobar islands,S110,nfhs4s_urban,29.859104864465476
1,andaman and nicobar islands,S81,nfhs4s_urban,16.51190286516676
1,andaman and nicobar islands,S82,nfhs4s_urban,19.37968754098143
1,andaman and nicobar islands,S83,nfhs4s_urban,4.695350695299414
1,andaman and nicobar islands,S84,nfhs4s_urban,16.292041803695504
1,andaman and nicobar islands,S85,nfhs4s_urban,2.2247751135148763
1,andaman and nicobar islands,S92,nfhs4s_urban,46.81714819512817
1,andaman and nicobar islands,S07,nfhs4s_urban,99.64778615080373
1,andaman and nicobar islands,S08,nfhs4s_urban,100
1,andaman and nicobar islands,S09,nfhs4s_urban,87.5411237669627
1,andaman and nicobar islands,S10,nfhs4s_urban,85.35641145474487
1,andaman and nicobar islands,S12,nfhs4s_urban,7.723680583696201
1,andhra pradesh,S86,nfhs4s_urban,11.520638274945187
1,andhra pradesh,S88,nfhs4s_urban,45.71457383572341
1,andhra pradesh,S99,nfhs4s_urban,4.9452339185151715
1,andhra pradesh,S100,nfhs4s_urban,6.597029417137701
1,andhra pradesh,S101,nfhs4s_urban,12.74617477868917
1,andhra pradesh,S105,nfhs4s_urban,10.748586450743716
1,andhra pradesh,S106,nfhs4s_urban,3.6858602619223966
1,andhra pradesh,S107,nfhs4s_urban,15.54311723971537
1,andhra pradesh,S14,nfhs4s_urban,74.93959226198726
1,andhra pradesh,S16,nfhs4s_urban,47.05345875637497
1,andhra pradesh,S20,nfhs4s_urban,24.473357054492332
1,andhra pradesh,S20_rev,nfhs4s_urban,75.52664294550767
1,andhra pradesh,S128,nfhs4s_urban,0.9782190979557419
1,andhra pradesh,S130,nfhs4s_urban,0.04888979510640191
1,andhra pradesh,S15,nfhs4s_urban,88.8006266192426
1,andhra pradesh,S17,nfhs4s_urban,63.83175459628424
1,andhra pradesh,S87,nfhs4s_urban,11.631717940538982
1,andhra pradesh,S89,nfhs4s_urban,44.54020063940444
1,andhra pradesh,S129,nfhs4s_urban,20.51029166371934
1,andhra pradesh,S131,nfhs4s_urban,30.703242101941797
1,andhra pradesh,S102,nfhs4s_urban,4.3195991017966024
1,andhra pradesh,S103,nfhs4s_urban,8.960634449130708
1,andhra pradesh,S104,nfhs4s_urban,14.783283443884482
1,andhra pradesh,S108,nfhs4s_urban,17.153946507844857
1,andhra pradesh,S109,nfhs4s_urban,4.848326484236209
1,andhra pradesh,S110,nfhs4s_urban,21.432130023634897
1,andhra pradesh,S81,nfhs4s_urban,28.40993606784033
1,andhra pradesh,S82,nfhs4s_urban,15.581027112692029
1,andhra pradesh,S83,nfhs4s_urban,9.182357989449685
1,andhra pradesh,S84,nfhs4s_urban,28.666110907927305
1,andhra pradesh,S85,nfhs4s_urban,2.0146096101605147
1,andhra pradesh,S92,nfhs4s_urban,52.52047433933152
1,andhra pradesh,S07,nfhs4s_urban,99.62352069214053
1,andhra pradesh,S08,nfhs4s_urban,99.36442142456121
1,andhra pradesh,S09,nfhs4s_urban,77.73647371857096
1,andhra pradesh,S10,nfhs4s_urban,89.96813586980858
1,andhra pradesh,S12,nfhs4s_urban,61.42768599220979
1,arunachal pradesh,S86,nfhs4s_urban,8.692616419492815
1,arunachal pradesh,S88,nfhs4s_urban,25.792657115662248
1,arunachal pradesh,S99,nfhs4s_urban,3.342854561421797
1,arunachal pradesh,S100,nfhs4s_urban,2.149115080217422
1,arunachal pradesh,S101,nfhs4s_urban,6.269088616077867
1,arunachal pradesh,S105,nfhs4s_urban,12.709530223104199
1,arunachal pradesh,S106,nfhs4s_urban,6.047230531455238
1,arunachal pradesh,S107,nfhs4s_urban,18.037846865265404
1,arunachal pradesh,S14,nfhs4s_urban,80.84611783928436
1,arunachal pradesh,S16,nfhs4s_urban,51.137665335418006
1,arunachal pradesh,S20,nfhs4s_urban,18.289749261316732
1,arunachal pradesh,S20_rev,nfhs4s_urban,81.71025073868327
1,arunachal pradesh,S128,nfhs4s_urban,15.266501348390552
1,arunachal pradesh,S130,nfhs4s_urban,22.2739881637543
1,arunachal pradesh,S15,nfhs4s_urban,90.79843473750543
1,arunachal pradesh,S17,nfhs4s_urban,62.35099822868227
1,arunachal pradesh,S87,nfhs4s_urban,8.519408619062599
1,arunachal pradesh,S89,nfhs4s_urban,26.465142409342008
1,arunachal pradesh,S129,nfhs4s_urban,56.900519048774946
1,arunachal pradesh,S131,nfhs4s_urban,56.041699593199304
1,arunachal pradesh,S102,nfhs4s_urban,5.234676490028258
1,arunachal pradesh,S103,nfhs4s_urban,3.252484800779872
1,arunachal pradesh,S104,nfhs4s_urban,10.270588869205302
1,arunachal pradesh,S108,nfhs4s_urban,17.322626510516226
1,arunachal pradesh,S109,nfhs4s_urban,8.443441706657593
1,arunachal pradesh,S110,nfhs4s_urban,22.054745932240735
1,arunachal pradesh,S81,nfhs4s_urban,23.957824110697054
1,arunachal pradesh,S82,nfhs4s_urban,11.399791398200735
1,arunachal pradesh,S83,nfhs4s_urban,9.786659007743474
1,arunachal pradesh,S84,nfhs4s_urban,13.802442769354336
1,arunachal pradesh,S85,nfhs4s_urban,4.4772723425979715
1,arunachal pradesh,S92,nfhs4s_urban,51.0467146604212
1,arunachal pradesh,S07,nfhs4s_urban,99.26732618388276
1,arunachal pradesh,S08,nfhs4s_urban,94.51181213781025
1,arunachal pradesh,S09,nfhs4s_urban,75.23250705136988
1,arunachal pradesh,S10,nfhs4s_urban,87.58543618289335
1,arunachal pradesh,S12,nfhs4s_urban,54.971609083139164
1,assam,S86,nfhs4s_urban,17.83524451253329
1,assam,S88,nfhs4s_urban,26.164800330183386
1,assam,S99,nfhs4s_urban,3.775393102526678
1,assam,S100,nfhs4s_urban,4.1026915535778
1,assam,S101,nfhs4s_urban,8.73639578101221
1,assam,S105,nfhs4s_urban,17.337860808793618
1,assam,S106,nfhs4s_urban,5.236781303048016
1,assam,S107,nfhs4s_urban,22.56064092748284
1,assam,S14,nfhs4s_urban,86.9641092923742
1,assam,S16,nfhs4s_urban,47.385540334576795
1,assam,S20,nfhs4s_urban,19.164995178643196
1,assam,S20_rev,nfhs4s_urban,80.83500482135682
1,assam,S128,nfhs4s_urban,16.55557748761512
1,assam,S130,nfhs4s_urban,2.856133542828416
1,assam,S15,nfhs4s_urban,92.72370639384381
1,assam,S17,nfhs4s_urban,49.19574653546155
1,assam,S87,nfhs4s_urban,16.243452381548977
1,assam,S89,nfhs4s_urban,24.57299258124204
1,assam,S129,nfhs4s_urban,64.13784254645681
1,assam,S131,nfhs4s_urban,30.40660401565569
1,assam,S102,nfhs4s_urban,3.5423467953258645
1,assam,S103,nfhs4s_urban,6.357026350098669
1,assam,S104,nfhs4s_urban,10.064486083979098
1,assam,S108,nfhs4s_urban,26.269892396982897
1,assam,S109,nfhs4s_urban,9.653752085807625
1,assam,S110,nfhs4s_urban,31.4860102990765
1,assam,S81,nfhs4s_urban,22.259945697577173
1,assam,S82,nfhs4s_urban,13.088520322493332
1,assam,S83,nfhs4s_urban,7.431558988789819
1,assam,S84,nfhs4s_urban,21.59483877926622
1,assam,S85,nfhs4s_urban,3.730627758953227
1,assam,S92,nfhs4s_urban,27.38827276648774
1,assam,S07,nfhs4s_urban,95.79625084772798
1,assam,S08,nfhs4s_urban,91.33713219358042
1,assam,S09,nfhs4s_urban,64.80979443744094
1,assam,S10,nfhs4s_urban,76.6010740944423
1,assam,S12,nfhs4s_urban,12.665069088254635
1,bihar,S86,nfhs4s_urban,22.157413091653407
1,bihar,S88,nfhs4s_urban,23.399707125178214
1,bihar,S99,nfhs4s_urban,3.382482065865348
1,bihar,S100,nfhs4s_urban,2.431567877773952
1,bihar,S101,nfhs4s_urban,6.58740733023986
1,bihar,S105,nfhs4s_urban,5.487112586024993
1,bihar,S106,nfhs4s_urban,1.9326621879976853
1,bihar,S107,nfhs4s_urban,9.049023644974499
1,bihar,S14,nfhs4s_urban,70.62314303140255
1,bihar,S16,nfhs4s_urban,44.29887347658618
1,bihar,S20,nfhs4s_urban,26.020400836480395
1,bihar,S20_rev,nfhs4s_urban,73.97959916351961
1,bihar,S128,nfhs4s_urban,1.517702355188457
1,bihar,S130,nfhs4s_urban,0.1643510752236536
1,bihar,S15,nfhs4s_urban,87.53756122695164
1,bihar,S17,nfhs4s_urban,60.24085012402253
1,bihar,S87,nfhs4s_urban,17.828339203577567
1,bihar,S89,nfhs4s_urban,21.83672759359651
1,bihar,S129,nfhs4s_urban,45.40415537568485
1,bihar,S131,nfhs4s_urban,27.81378929703934
1,bihar,S102,nfhs4s_urban,5.628132973566475
1,bihar,S103,nfhs4s_urban,5.0109413422694065
1,bihar,S104,nfhs4s_urban,11.14555447205265
1,bihar,S108,nfhs4s_urban,12.937942927340082
1,bihar,S109,nfhs4s_urban,3.4224571004157234
1,bihar,S110,nfhs4s_urban,15.852256677574076
1,bihar,S81,nfhs4s_urban,39.66921518352322
1,bihar,S82,nfhs4s_urban,21.302685465746496
1,bihar,S83,nfhs4s_urban,15.82606796607377
1,bihar,S84,nfhs4s_urban,37.240145616629675
1,bihar,S85,nfhs4s_urban,1.4345406872272042
1,bihar,S92,nfhs4s_urban,58.639195702469536
1,bihar,S07,nfhs4s_urban,88.38628570974213
1,bihar,S08,nfhs4s_urban,98.6362957929743
1,bihar,S09,nfhs4s_urban,57.91474687317143
1,bihar,S10,nfhs4s_urban,63.927573641055865
1,bihar,S12,nfhs4s_urban,9.797845507890901
1,chandigarh,S86,nfhs4s_urban,12.469808746166072
1,chandigarh,S88,nfhs4s_urban,42.539751370404986
1,chandigarh,S99,nfhs4s_urban,3.6206908536855966
1,chandigarh,S100,nfhs4s_urban,2.6292887586422733
1,chandigarh,S101,nfhs4s_urban,7.098478594093127
1,chandigarh,S105,nfhs4s_urban,9.21726998074482
1,chandigarh,S106,nfhs4s_urban,2.175772990787466
1,chandigarh,S107,nfhs4s_urban,11.997405269363247
