id,variable,mean,lci,uci
S86,nfhs4s_total,22.853285097620347,22.632932045430767,23.073638149809923
S88,nfhs4s_total,20.601275094610532,20.340380614461118,20.862169574759946
S99,nfhs4s_total,3.455683320359546,3.3809905911648745,3.530376049554218
S100,nfhs4s_total,2.820962378004388,2.7517444807795366,2.8901802752292394
S101,nfhs4s_total,7.041830560919626,6.920986367564949,7.1626747542743034
S105,nfhs4s_total,8.658732396051432,8.540583202719572,8.776881589383292
S106,nfhs4s_total,2.789927042531121,2.7250894666904366,2.8547646183718056
S107,nfhs4s_total,12.465010163320015,12.321259288907251,12.608761037732776
S14,nfhs4s_total,68.37476673969802,68.06192181604462,68.68761166335143
S16,nfhs4s_total,35.69266766015354,35.316879487119984,36.06845583318709
S20,nfhs4s_total,29.00049649625115,28.60067234565299,29.40032064684931
S20_rev,nfhs4s_total,70.99950350374885,70.59967935315069,71.399327654347
S128,nfhs4s_total,6.796009057861974,6.653313931060405,6.938704184663543
S130,nfhs4s_total,1.2345701792228991,1.165178600544191,1.3039617579016072
S15,nfhs4s_total,84.42835427233561,84.00129304488293,84.85541549978828
S17,nfhs4s_total,45.88636649368767,45.1377059022978,46.63502708507753
S87,nfhs4s_total,19.7359560348257,19.303709397678144,20.168202671973255
S89,nfhs4s_total,19.562648973243597,19.00981618933784,20.11548175714935
S129,nfhs4s_total,45.52105701619668,44.89140875577553,46.15070527661782
S131,nfhs4s_total,29.509268328172165,28.87105186172586,30.147484794618475
S102,nfhs4s_total,4.776801113006768,4.570764213909342,4.982838012104194
S103,nfhs4s_total,4.420901275248991,4.217352641842374,4.624449908655608
S104,nfhs4s_total,10.016232787685015,9.705147855349916,10.327317720020112
S108,nfhs4s_total,14.271818593803086,13.92570448911335,14.617932698492824
S109,nfhs4s_total,3.7785905132718787,3.5886345243668716,3.968546502176886
S110,nfhs4s_total,17.465738683773328,17.079453859298074,17.85202350824858
S81,nfhs4s_total,38.36609377377494,38.01862245781164,38.71356508973825
S82,nfhs4s_total,21.107576254546913,20.830300573437004,21.38485193565682
S83,nfhs4s_total,16.288901513622005,16.04149422766741,16.536308799576595
S84,nfhs4s_total,35.74590544920856,35.409034103458644,36.08277679495848
S85,nfhs4s_total,2.0744169869759816,1.977253342812063,2.1715806311399
S92,nfhs4s_total,58.486158599945014,58.097250894252504,58.875066305637525
S07,nfhs4s_total,87.97174936320698,87.69221326758318,88.25128545883078
S08,nfhs4s_total,94.41654942440294,94.21975688458755,94.61334196421835
S09,nfhs4s_total,48.68951371320856,48.19074313857145,49.18828428784567
S10,nfhs4s_total,43.888988951459915,43.26247426114493,44.51550364177489
S12,nfhs4s_total,28.829622511421483,28.494148853658963,29.165096169184
